iter	Passed	Remaining
746	19560	504142
747	19594	504314
748	19629	504531
749	19664	504718
750	19701	504984
751	19738	505228
752	19773	505413
753	19808	505605
754	19841	505753
755	19876	505944
756	19916	506289
757	19953	506533
758	19988	506716
759	20024	506936
760	20074	507495
761	20109	507691
762	20150	508041
763	20182	508154
764	20213	508236
765	20246	508390
766	20249	507763
767	20280	507863
768	20308	507858
769	20339	507956
770	20371	508070
771	20402	508167
772	20433	508259
773	20468	508429
774	20498	508488
775	20526	508511
776	20559	508642
777	20592	508773
778	20637	509214
779	20668	509297
780	20698	509359
781	20727	509394
782	20756	509425
783	20790	509578
784	20826	509788
785	20857	509874
786	20886	509902
787	20914	509912
788	20945	509989
789	20973	510006
790	21002	510045
791	21035	510168
792	21067	510276
793	21099	510369
794	21126	510367
795	21157	510433
796	21189	510530
797	21218	510575
798	21253	510751
799	21286	510876
800	21315	510895
801	21346	510993
802	21376	511036
803	21407	511118
804	21437	511172
805	21471	511315
806	21502	511408
807	21534	511487
808	21564	511556
809	21596	511651
810	21625	511684
811	21658	511793
812	21694	511992
813	21726	512097
814	21755	512131
815	21784	512140
816	21817	512270
817	21847	512318
818	21875	512333
819	21912	512536
820	21948	512717
821	21978	512780
822	22007	512808
823	22038	512866
824	22072	513021
825	22102	513062
826	22138	513252
827	22171	513376
828	22201	513415
829	22232	513495
830	22261	513519
831	22291	513560
832	22322	513630
833	22357	513790
834	22389	513893
835	22419	513937
836	22449	513967
837	22479	514020
838	22509	514061
839	22540	514145
840	22570	514189
841	22609	514423
842	22641	514524
843	22669	514515
844	22699	514557
845	22732	514686
846	22739	514207
847	22795	514844
848	22911	516812
849	22947	516995
850	22984	517181
851	23039	517789
852	23080	518081
853	23115	518228
854	23143	518224
855	23176	518327
856	23213	518519
857	23244	518574
858	23277	518685
859	23308	518743
860	23339	518808
861	23371	518900
862	23401	518938
863	23437	519105
864	23470	519195
865	23499	519211
866	23529	519254
867	23557	519251
868	23588	519309
869	23624	519470
870	23658	519592
871	23691	519700
872	23727	519868
873	23756	519873
874	23789	519960
875	23817	519969
876	23846	519963
877	23879	520076
878	23912	520171
879	23941	520184
880	23971	520211
881	24005	520328
882	24034	520354
883	24064	520387
884	24099	520531
885	24131	520588
886	24161	520636
887	24188	520598
888	24219	520661
889	24250	520709
890	24281	520752
891	24316	520890
892	24350	521005
893	24378	521005
894	24407	521007
895	24438	521063
896	24467	521072
897	24498	521130
898	24531	521221
899	24570	521439
900	24602	521515
901	24634	521593
902	24665	521637
903	24695	521655
904	24698	521134
905	24728	521149
906	24761	521253
907	24798	521415
908	24826	521413
909	24855	521426
910	24885	521448
911	24914	521463
912	24950	521611
913	24981	521659
914	25012	521715
915	25043	521752
916	25071	521747
917	25101	521762
918	25133	521832
919	25165	521920
920	25198	522000
921	25230	522064
922	25272	522352
923	25323	522799
924	25354	522859
925	25392	523039
926	25431	523243
927	25459	523240
928	25488	523243
929	25524	523384
930	25553	523392
931	25588	523512
932	25620	523587
933	25650	523601
934	25678	523587
935	25705	523565
936	25736	523608
937	25766	523620
938	25794	523607
939	25831	523768
940	25862	523819
941	25891	523815
942	25922	523860
943	25954	523922
944	25983	523929
945	26013	523958
946	26048	524079
947	26086	524269
948	26115	524270
949	26150	524393
950	26182	524442
951	26211	524458
952	26242	524490
953	26274	524557
954	26307	524625
955	26337	524649
956	26367	524672
957	26397	524691
958	26426	524707
959	26455	524707
960	26489	524799
961	26520	524844
962	26547	524800
963	26577	524825
964	26604	524793
965	26632	524761
966	26659	524716
967	26693	524820
968	26723	524847
969	26752	524845
970	26784	524906
971	26813	524899
972	26840	524872
973	26872	524925
974	26901	524930
975	26929	524903
976	26963	524996
977	26994	525040
978	27025	525087
979	27056	525120
980	27084	525104
981	27113	525098
982	27144	525130
983	27176	525182
984	27220	525476
985	27255	525588
986	27298	525871
987	27330	525921
988	27364	526022
989	27420	526532
990	27465	526832
991	27507	527070
992	27546	527267
993	27581	527377
994	27627	527708
995	27661	527794
996	27702	528016
997	27738	528140
998	27774	528273
999	27813	528454
1000	27849	528580
1001	27888	528763
1002	27898	528393
1003	27930	528459
1004	27964	528545
1005	27997	528610
1006	28028	528653
1007	28063	528752
1008	28093	528769
1009	28126	528841
1010	28154	528811
1011	28170	528562
1012	28209	528748
1013	28240	528778
1014	28274	528854
1015	28305	528895
1016	28334	528888
1017	28362	528852
1018	28391	528852
1019	28423	528893
1020	28452	528894
1021	28485	528961
1022	28519	529051
1023	28549	529064
1024	28578	529053
1025	28610	529098
1026	28638	529067
1027	28667	529063
1028	28701	529153
1029	28818	530770
1030	28869	531156
1031	28908	531333
1032	28942	531415
1033	28973	531443
1034	29001	531419
1035	29057	531898
1036	29092	532006
1037	29131	532169
1038	29165	532243
1039	29194	532234
1040	29226	532277
1041	29255	532266
1042	29284	532254
1043	29312	532228
1044	29350	532385
1045	29384	532451
1046	29392	532075
1047	29423	532099
1048	29452	532082
1049	29484	532123
1050	29533	532469
1051	29573	532667
1052	29608	532748
1053	29638	532756
1054	29668	532771
1055	29697	532753
1056	29727	532768
1057	29757	532772
1058	29791	532845
1059	29822	532869
1060	29854	532898
1061	29884	532905
1062	29915	532927
1063	29943	532908
1064	29971	532876
1065	29999	532849
1066	30037	532992
1067	30068	533014
1068	30097	533001
1069	30128	533019
1070	30158	533018
1071	30187	533006
1072	30219	533053
1073	30254	533148
1074	30284	533153
1075	30313	533140
1076	30343	533132
1077	30371	533109
1078	30401	533112
1079	30437	533214
1080	30470	533269
1081	30503	533327
1082	30534	533350
1083	30562	533313
1084	30590	533295
1085	30622	533326
1086	30655	533388
1087	30687	533426
1088	30715	533392
1089	30744	533373
1090	30771	533331
1091	30797	533265
1092	30826	533245
1093	30855	533231
1094	30894	533393
1095	30925	533413
1096	30955	533417
1097	30983	533371
1098	31015	533412
1099	31043	533378
1100	31071	533345
1101	31108	533476
1102	31139	533494
1103	31168	533477
1104	31195	533437
1105	31225	533432
1106	31252	533385
1107	31279	533324
1108	31312	533390
1109	31344	533426
1110	31373	533413
1111	31407	533467
1112	31435	533440
1113	31464	533423
1114	31494	533435
1115	31527	533483
1116	31558	533503
1117	31586	533474
1118	31614	533437
1119	31645	533449
1120	31673	533416
1121	31704	533435
1122	31741	533556
1123	31776	533633
1124	31806	533634
1125	31833	533589
1126	31860	533545
1127	31887	533494
1128	31920	533538
1129	31949	533524
1130	31980	533544
1131	32009	533530
1132	32038	533517
1133	32064	533448
1134	32091	533403
1135	32124	533443
1136	32155	533469
1137	32189	533536
1138	32223	533596
1139	32252	533587
1140	32283	533596
1141	32312	533579
1142	32341	533557
1143	32371	533569
1144	32404	533614
1145	32435	533634
1146	32463	533587
1147	32491	533567
1148	32519	533532
1149	32545	533459
1150	32579	533536
1151	32613	533588
1152	32641	533553
1153	32668	533513
1154	32698	533511
1155	32727	533487
1156	32753	533433
1157	32783	533418
1158	32817	533487
1159	32850	533538
1160	32883	533592
1161	32915	533609
1162	32946	533631
1163	32976	533634
1164	33003	533585
1165	33036	533624
1166	33070	533692
1167	33099	533669
1168	33132	533714
1169	33161	533709
1170	33189	533663
1171	33221	533702
1172	33250	533678
1173	33281	533699
1174	33311	533694
1175	33342	533710
1176	33370	533677
1177	33397	533623
1178	33425	533586
1179	33452	533541
1180	33481	533519
1181	33517	533610
1182	33548	533629
1183	33578	533628
1184	33606	533596
1185	33637	533605
1186	33666	533583
1187	33694	533560
1188	33727	533600
1189	33758	533607
1190	33787	533598
1191	33816	533567
1192	33845	533561
1193	33873	533524
1194	33901	533495
1195	33937	533586
1196	33969	533612
1197	33996	533562
1198	34025	533535
1199	34052	533487
1200	34079	533439
1201	34106	533389
1202	34135	533375
1203	34165	533375
1204	34193	533332
1205	34223	533324
1206	34253	533324
1207	34281	533289
1208	34306	533207
1209	34334	533179
1210	34365	533189
1211	34398	533237
1212	34431	533277
1213	34462	533281
1214	34492	533281
1215	34520	533253
1216	34550	533240
1217	34582	533275
1218	34612	533265
1219	34643	533284
1220	34675	533303
1221	34702	533266
1222	34730	533219
1223	34759	533205
1224	34787	533168
1225	34819	533195
1226	34847	533163
1227	34878	533173
1228	34906	533144
1229	34934	533101
1230	34963	533082
1231	34992	533071
1232	35024	533093
1233	35057	533141
1234	35088	533147
1235	35116	533104
1236	35145	533098
1237	35178	533130
1238	35210	533163
1239	35253	533348
1240	35284	533356
1241	35315	533368
1242	35343	533335
1243	35370	533285
1244	35400	533276
1245	35431	533295
1246	35467	533375
1247	35519	533704
1248	35557	533819
1249	35594	533919
1250	35631	534018
1251	35666	534091
1252	35705	534211
1253	35740	534287
1254	35773	534317
1255	35807	534375
1256	35842	534447
1257	35877	534518
1258	35911	534558
1259	35943	534588
1260	35975	534612
1261	36002	534562
1262	36037	534620
1263	36065	534585
1264	36096	534595
1265	36128	534623
1266	36156	534590
1267	36185	534569
1268	36214	534545
1269	36248	534601
1270	36283	534653
1271	36312	534644
1272	36340	534604
1273	36372	534628
1274	36401	534602
1275	36430	534587
1276	36460	534576
1277	36493	534607
1278	36525	534632
1279	36557	534647
1280	36589	534671
1281	36619	534666
1282	36646	534618
1283	36672	534549
1284	36702	534538
1285	36733	534553
1286	36767	534601
1287	36796	534571
1288	36826	534565
1289	36853	534523
1290	36883	534505
1291	36912	534482
1292	36944	534515
1293	36978	534555
1294	37006	534526
1295	37052	534744
1296	37087	534810
1297	37119	534827
1298	37150	534829
1299	37185	534892
1300	37218	534936
1301	37248	534931
1302	37278	534910
1303	37307	534895
1304	37336	534871
1305	37365	534851
1306	37397	534866
1307	37430	534904
1308	37457	534853
1309	37484	534801
1310	37513	534770
1311	37542	534751
1312	37571	534725
1313	37603	534751
1314	37633	534743
1315	37663	534734
1316	37692	534706
1317	37720	534668
1318	37750	534658
1319	37777	534613
1320	37805	534568
1321	37833	534541
1322	37869	534614
1323	37897	534568
1324	37926	534554
1325	37957	534558
1326	37987	534541
1327	38018	534544
1328	38048	534542
1329	38080	534561
1330	38114	534604
1331	38145	534610
1332	38175	534599
1333	38203	534568
1334	38232	534532
1335	38261	534509
1336	38297	534590
1337	38325	534548
1338	38352	534505
1339	38379	534452
1340	38409	534441
1341	38437	534397
1342	38464	534346
1343	38495	534356
1344	38526	534359
1345	38553	534312
1346	38581	534266
1347	38609	534226
1348	38639	534227
1349	38667	534188
1350	38698	534191
1351	38747	534434
1352	38777	534428
1353	38805	534391
1354	38834	534364
1355	38862	534336
1356	38890	534298
1357	38921	534292
1358	38957	534364
1359	38986	534341
1360	39015	534325
1361	39044	534294
1362	39073	534271
1363	39101	534235
1364	39135	534272
1365	39166	534284
1366	39199	534309
1367	39226	534260
1368	39256	534243
1369	39284	534210
1370	39314	534201
1371	39346	534223
1372	39377	534222
1373	39407	534208
1374	39438	534209
1375	39465	534159
1376	39493	534117
1377	39522	534095
1378	39552	534081
1379	39582	534079
1380	39611	534047
1381	39644	534078
1382	39674	534066
1383	39701	534013
1384	39729	533981
1385	39774	534170
1386	39868	535026
1387	39906	535109
1388	39939	535141
1389	39983	535316
1390	40026	535486
1391	40059	535511
1392	40090	535508
1393	40122	535522
1394	40149	535477
1395	40180	535471
1396	40215	535530
1397	40250	535583
1398	40283	535606
1399	40312	535576
1400	40343	535583
1401	40374	535586
1402	40402	535548
1403	40432	535528
1404	40465	535561
1405	40499	535591
1406	40530	535592
1407	40557	535549
1408	40587	535528
1409	40615	535490
1410	40644	535458
1411	40676	535481
1412	40710	535523
1413	40740	535498
1414	40768	535470
1415	40797	535444
1416	40828	535432
1417	40855	535386
1418	40883	535347
1419	40925	535496
1420	40955	535472
1421	40985	535459
1422	41014	535439
1423	41041	535385
1424	41074	535405
1425	41106	535423
1426	41135	535395
1427	41164	535364
1428	41194	535349
1429	41222	535314
1430	41249	535257
1431	41276	535207
1432	41309	535230
1433	41346	535317
1434	41376	535302
1435	41408	535309
1436	41438	535299
1437	41466	535257
1438	41493	535206
1439	41521	535169
1440	41551	535150
1441	41584	535180
1442	41612	535133
1443	41640	535103
1444	41669	535077
1445	41697	535026
1446	41727	535016
1447	41754	534962
1448	41786	534981
1449	41819	535001
1450	41848	534971
1451	41878	534959
1452	41910	534965
1453	41926	534773
1454	41953	534730
1455	41983	534714
1456	42012	534683
1457	42045	534706
1458	42073	534668
1459	42103	534661
1460	42132	534624
1461	42162	534615
1462	42205	534771
1463	42240	534814
1464	42269	534789
1465	42301	534803
1466	42329	534756
1467	42359	534741
1468	42389	534734
1469	42419	534715
1470	42451	534732
1471	42479	534684
1472	42508	534656
1473	42535	534605
1474	42564	534583
1475	42591	534526
1476	42620	534506
1477	42650	534488
1478	42685	534533
1479	42712	534485
1480	42742	534463
1481	42769	534418
1482	42798	534383
1483	42824	534323
1484	42853	534300
1485	42883	534278
1486	42914	534283
1487	42947	534298
1488	42973	534242
1489	43002	534218
1490	43029	534166
1491	43057	534114
1492	43086	534096
1493	43117	534089
1494	43148	534093
1495	43180	534093
1496	43210	534088
1497	43238	534047
1498	43266	534006
1499	43295	533974
1500	43325	533960
1501	43357	533970
1502	43389	533977
1503	43416	533934
1504	43449	533953
1505	43476	533904
1506	43503	533851
1507	43532	533822
1508	43585	534091
1509	43658	534601
1510	43710	534856
1511	43753	534990
1512	43800	535191
1513	43836	535245
1514	43869	535268
1515	43899	535255
1516	43931	535258
1517	43969	535339
1518	44005	535399
1519	44038	535409
1520	44069	535413
1521	44101	535419
1522	44132	535408
1523	44160	535367
1524	44193	535390
1525	44227	535426
1526	44256	535396
1527	44288	535404
1528	44319	535404
1529	44346	535347
1530	44374	535307
1531	44405	535303
1532	44439	535335
1533	44471	535335
1534	44499	535301
1535	44529	535281
1536	44560	535281
1537	44590	535262
1538	44620	535239
1539	44651	535241
1540	44682	535230
1541	44715	535250
1542	44745	535230
1543	44773	535197
1544	44804	535183
1545	44838	535218
1546	44867	535187
1547	44898	535190
1548	44928	535170
1549	44955	535118
1550	44982	535067
1551	45010	535021
1552	45040	535009
1553	45080	535106
1554	45109	535081
1555	45140	535070
1556	45168	535036
1557	45199	535029
1558	45230	535017
1559	45259	534993
1560	45291	534995
1561	45321	534978
1562	45349	534938
1563	45382	534953
1564	45411	534923
1565	45440	534894
1566	45469	534865
1567	45502	534887
1568	45533	534878
1569	45561	534839
1570	45591	534823
1571	45620	534790
1572	45652	534800
1573	45683	534796
1574	45715	534799
1575	45745	534775
1576	45773	534735
1577	45802	534713
1578	45831	534681
1579	45860	534648
1580	45890	534633
1581	45922	534637
1582	45953	534634
1583	45981	534595
1584	46015	534625
1585	46047	534624
1586	46075	534584
1587	46103	534541
1588	46132	534519
1589	46166	534538
1590	46213	534722
1591	46249	534770
1592	46278	534739
1593	46308	534722
1594	46339	534721
1595	46374	534764
1596	46405	534753
1597	46436	534740
1598	46463	534698
1599	46493	534671
1600	46525	534684
1601	46557	534688
1602	46590	534696
1603	46618	534655
1604	46648	534636
1605	46675	534588
1606	46701	534526
1607	46728	534472
1608	46756	534432
1609	46791	534473
1610	46821	534447
1611	46850	534421
1612	46876	534355
1613	46905	534323
1614	46937	534332
1615	46965	534287
1616	46995	534268
1617	47035	534362
1618	47068	534384
1619	47099	534370
1620	47142	534499
1621	47177	534541
1622	47213	534596
1623	47244	534588
1624	47277	534604
1625	47307	534585
1626	47337	534557
1627	47365	534521
1628	47395	534499
1629	47427	534501
1630	47457	534489
1631	47484	534435
1632	47517	534451
1633	47546	534420
1634	47573	534364
1635	47603	534343
1636	47635	534353
1637	47665	534336
1638	47693	534294
1639	47721	534244
1640	47748	534197
1641	47776	534155
1642	47806	534133
1643	47833	534082
1644	47876	534204
1645	47911	534248
1646	47946	534282
1647	47990	534422
1648	48067	534917
1649	48123	535193
1650	48153	535175
1651	48184	535167
1652	48214	535141
1653	48242	535106
1654	48273	535089
1655	48304	535083
1656	48335	535079
1657	48366	535069
1658	48395	535038
1659	48426	535023
1660	48456	535007
1661	48484	534965
1662	48515	534948
1663	48546	534948
1664	48581	534977
1665	48609	534933
1666	48638	534903
